S/N,Name,Department,Content_A (30%),Content_B (30%),Content_Avg (30%),Structure_A (20%),Structure_B (20%),Structure_Avg (20%),Style_A (30%),Style_B (30%),Style_Avg (30%),Mechanics_A (20%),Mechanics_B (20%),Mechanics_Avg (20%),Total_A(100%),Total_B(100%),Total_Avg(100%),Violations_A,Violations_B,Penalty_A,Penalty_B,Penalty_Avg,Net_A(100%),Net_B(100%),Net_Avg(100%)
1,Alice Thompson,Pharmacy,25,28,26.5,17,19,18,15,19,17,28,28,28,85,94,89.5,,"E(i), E(ii),E(iii)",0,-3,-1.5,85,91,88
2,Benjamin Parker,Electrical Engineering,29,26,27.5,19,15,17,18,17,17.5,28,22,25,94,81,87.5,,,0,0,0,94,81,87.5
3,Daniel Evans,Pharmacy,26,28,27,17,17,17,17,19,18,28,25,26.5,88,89,88.5,,"E(i), E(ii),E(iii)",0,-3,-1.5,88,86,87
4,Sophia Bennett,Biomedical Engineering,28,24,26,18,19,18.5,28,26,27,18,16,17,92,85,88.5,"E(i),E(ii), E(iii), E(iv)",,-4,0,-2,88,85,86.5
5,Ethan Carter,Pharmacy,25,29,27,10,19,14.5,25,28,26.5,16,17,16.5,76,93,84.5,E(v),,-1,0,-0.5,75,93,84
6,Olivia Turner,Medical Laboratory,26,29,27.5,15,19,17,25,24,24.5,18,11,14.5,84,83,83.5,E(v),,-1,0,-0.5,83,83,83
7,Noah Peterson,,21,27,24,19,20,19.5,12,18,15,27,26,26.5,79,93,86,B(i),"E(i), E(ii), E(iii), E(v), C(i)",-5,-10,-7.5,74,84,79
8,Charlotte Brooks,Physiology,20,22,21,18,16,17,25,22,23.5,16,17,16.5,79,77,78,E(v),,-1,0,-0.5,78,77,77.5
9,Samuel Hughes,Medical Rehabilitation,25,22,23.5,15.6,18,16.8,25,18,21.5,18,20,19,83.6,78,80.8,"C(i), E(iii), E(iv)","E(iii), E(iv)",-7,-2,-4.5,76.6,76,76.3
10,Emily Richardson,Pharmacy,28,25,26.5,14.6,18,16.3,28,14,21,12,23,17.5,82.6,80,81.3,"C(ii), E(i), E(ii), E(iii), E(iv)","E(i), E(ii), E(iii)",-14,-3,-8.5,68.6,77,72.8
11,Abigail Cooper,Pharmacy,25,20,22.5,17,16,16.5,15,14,14.5,26,19,22.5,83,69,76,,"C(i), E(v)",0,-7,-3.5,83,62,72.5
12,Victoria Scott,Nursing,24,20,22,17,15,16,18,17,17.5,26,22,24,85,74,79.5,"A(i), A(ii), A(iii)","A(i), A(ii), A(iii), E(v)",-6,-8,-7,79,66,72.5
13,Lucas Mitchell,Food Science and Tech.,25,20,22.5,18,13,15.5,15,15,15,24,20,22,82,68,75,,"E(i), E(ii), E(iii), C(ii)",0,-13,-6.5,82,55,68.5
